Item;Qtd_relatorio;Qtd_orcamento;Diferenca;Status
1.1;;1,00;;Não citado no relatório
1.2;;173,00;;Não citado no relatório
2.28;1,00;1,00;0,00;Compatível
15.3;1,00;1,00;0,00;Compatível
19.1;1,00;1,00;0,00;Compatível
19.3;1,00;1,00;0,00;Compatível
19.10;1,00;1,00;0,00;Compatível
